,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
43,25,2.09104971531201,-5.76,Friedrich-Ebert-Gymnasium,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Erstattungen von privaten Unternehmen,2019,Gymnasien,Revenue,http://dbpedia.org/resource/Bonn,Gymnasien
44,47,1.98056929300475,26773,Verwaltung / Finanzen,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2021,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
45,22,1.87944129796168,13237.5,Wissenschaftlicher Mitarbeiter,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
46,0,1.81170296922387,41967.9,Beschaffung 2,Personal- und Organisationsamt,Approved,Amt für Organisation und IT,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2019,Zentrale Dienste,Expenditure,http://dbpedia.org/resource/Bonn,Zentrale Dienste
47,8,1.68877549382915,0,"""Abendrealschule",Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Erstattungen von privaten Unternehmen,2019,Realschulen,Revenue,http://dbpedia.org/resource/Bonn,Realschulen
48,2,176.31365676,-45499.9,40-33 OGS-Büro,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
49,65,149.301518336,-3561.87,40-33 OGS-Büro,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
50,1,52.56781414633,103.1,Endgerätebetreuung,IT-Betrieb,Approved,IT-Betrieb,http://data.openbudgets.eu/codelist/currency/EUR,AfA Betriebs- und Geschäftsausstattung,2018,IT-Betrieb,Expenditure,http://dbpedia.org/resource/Bonn,IT-Betrieb
51,26,13.42614661861,104.88,Paul-Martini-Schule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
52,20,13.41692823088,114,Derletalschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
53,96,27.242609319515,0.00488281,Behindertenangelegenheiten SG-Leitung,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
54,84,24.4143927604733,0.00390625,SG Behindertenangel. allg. Mitarbeit,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
55,66,23.0002700004466,0.00292969,Einglieder.Spätaussiedl. Ausgleichsabgab,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
56,0,530.381984011953,0.00195312,n.a.,Personal- und Organisationsamt,Approved,Amt für Organisation und IT,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2021,PB01 Innere Verwaltung,Expenditure,http://dbpedia.org/resource/Bonn,Amt 10 TE-übergr.
